speciesName,monthlySightings,monthIndex
Plagioecia patina,2,185
Aetea truncata,1,185
Aetea longicollis,1,185
Aetea anguina,1,185
Palmiskenea skenei,2,185
Oshurkovia littoralis,8,185
Myriapora truncata,2,185
Crisidia cornuta,8,186
Plagioecia patina,1,186
Oshurkovia littoralis,16,186
Filicrisia geniculata,1,187
Crisidia cornuta,2,187
Plagioecia patina,1,187
Palmiskenea skenei,10,187
Rhynchozoon bispinosum,1,187
Rhynchozoon neapolitanum Gautier,1,187
Dentiporella sardonica,1,187
Oshurkovia littoralis,4,187
Myriapora truncata,1,187
Myriapora truncata,1,188
Oshurkovia littoralis,1,189
Exidmonea coerulea,7,193
Diaperoforma californica,1,193
Fasciculipora ramosa d'Orbigny,6,193
Infundibulipora lucernaria,1,193
Rhamphosmittina bassleri,9,193
Cellarinelloides crassus Moyano,12,193
Cellarinella edita Hayward & Ryland,6,193
Cellarinella laytoni Rogick,22,193
Cellarinella nodulata Waters,14,193
Cellarinella terminata Hayward & Winston,6,193
Cellarinella watersi Calvet,9,193
Cellarinella rossi Rogick,1,193
Cellarinella njegovanae Rogick,25,193
Cellarinella dubia Waters,1,193
Cellarinella rogickae Moyano,10,193
Cellarinella margueritae Rogick,14,193
Cellarinella anomala Hayward & Ryland,1,193
Cellarinella foveolata Waters,10,193
Cellarinella nutti Rogick,23,193
Cellarinella latilaminata Moyano,9,193
Cellarinella virgula Hayward & Ryland,2,193
Systenopora contracta Waters,14,193
Rhynchozoon rostratum,1,193
Oshurkovia littoralis,2,193
Exidmonea coerulea,1,194
Rhamphosmittina bassleri,1,194
Cellarinelloides crassus Moyano,1,194
Cellarinella laytoni Rogick,1,194
Cellarinella nodulata Waters,1,194
Cellarinella watersi Calvet,1,194
Cellarinella rogickae Moyano,1,194
Cellarinella anomala Hayward & Ryland,1,194
Cellarinella foveolata Waters,1,194
Cellarinella nutti Rogick,1,194
Systenopora contracta Waters,1,194
Myriapora truncata,2,194
Oshurkovia littoralis,4,195
Phidolopora pacifica,1,196
Rhynchozoon rostratum,1,196
Oshurkovia littoralis,4,196
Filicrisia geniculata,1,197
Crisidia cornuta,2,197
Tubulipora liliacea,2,197
Palmiskenea skenei,4,197
Oshurkovia littoralis,17,197
Crisidia cornuta,3,198
Palmiskenea skenei,4,198
Oshurkovia littoralis,51,198
Crisidia cornuta,5,199
Plagioecia patina,4,199
Aetea truncata,1,199
Aetea sica,1,199
Aetea anguina,1,199
Palmiskenea skenei,8,199
Oshurkovia littoralis,77,199
Crisidia cornuta,2,200
Diaperoforma californica,3,200
Phidolopora pacifica,1,200
Oshurkovia littoralis,44,200
Myriapora truncata,1,200
Tubulipora liliacea,1,201
Tubulipora phalangea Couch,4,201
Plagioecia patina,2,201
Oshurkovia littoralis,14,201
Disporella hispida,1,204
Crisidia cornuta,12,207
Diaperoforma californica,1,207
Disporella hispida,4,207
Disporella separata Osburn,1,207
Aetea anguina,1,207
Crisidia cornuta,8,208
Plagioecia patina,1,208
Disporella hispida,1,208
Aetea truncata,3,208
Oshurkovia littoralis,3,208
Myriapora truncata,1,208
Crisidia cornuta,1,209
Disporella hispida,2,209
Aetea anguina,2,209
Oshurkovia littoralis,2,209
Filicrisia geniculata,2,210
Crisidia cornuta,20,210
Disporella hispida,1,210
Aetea anguina,1,210
Oshurkovia littoralis,4,210
Crisidia cornuta,15,211
Plagioecia patina,1,211
Disporella hispida,2,211
Pectinatella magnifica,1,212
Filicrisia geniculata,1,213
Crisidia cornuta,4,218
Crisidia cornuta,7,219
Plagioecia patina,2,219
Disporella hispida,5,219
Aetea anguina,1,219
Oshurkovia littoralis,4,221
Plagioecia patina,4,222
Aetea truncata,1,222
Oshurkovia littoralis,10,222
Crisidia cornuta,2,223
Oshurkovia littoralis,6,223
Rhynchozoon rostratum,1,224
Myriapora truncata,3,224
Crisidia cornuta,10,226
Platonea stoechas Harmelin,1,226
Entalophoroecia deflexa,1,226
Disporella hispida,5,226
Myriapora truncata,1,226
Crisidia cornuta,1,230
Crisidia cornuta,3,231
Disporella hispida,4,231
Aetea anguina,2,231
Palmiskenea skenei,2,231
Crisidia cornuta,4,232
Disporella hispida,2,232
Aetea anguina,3,232
Oshurkovia littoralis,3,232
Entalophoroecia deflexa,1,233
Oshurkovia littoralis,2,233
Myriapora truncata,1,233
Diaperoforma californica,1,234
Disporella hispida,4,235
Diplosolen obelium,2,236
Disporella hispida,6,236
Aetea sica,4,236
Oshurkovia littoralis,1,236
Disporella hispida,1,237
Myriapora truncata,2,237
Rhynchozoon rostratum,1,240
Crisidia cornuta,10,242
Plagioecia patina,2,242
Disporella hispida,7,242
Disporella hispida,1,243
Crisidia cornuta,1,244
Lichenopora intricata,4,244
Disporella hispida,1,245
Oshurkovia littoralis,1,248
